Name,Wins,Losses,Draws,Height,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Don Madge,9,3,1,72.0,"72""",2.08,52%,0.74,67%,2.22,25%,80%,0.7
Patchy Mix,20,2,0,71.0,"70""",8.13,40%,11.53,42%,0.00,0%,0%,0.0
Gabriel Miglioli,9,9,0,68.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Shoji Maruyama,12,9,1,67.0,--,1.40,63%,0.27,55%,0.00,0%,54%,0.0
Julian Marquez,9,6,0,74.0,"72""",5.06,45%,5.35,50%,0.00,0%,54%,2.6
Curtis Millender,17,5,0,74.0,"76""",3.86,46%,2.95,61%,0.43,100%,57%,0.0
Vitor Miranda,12,5,0,73.0,"77""",2.98,45%,2.95,58%,0.95,55%,50%,0.2
Billy Miles,2,2,0,70.0,--,0.00,0%,1.25,33%,0.00,0%,0%,0.0
Cody McKenzie,16,10,0,72.0,"72""",1.74,34%,2.50,67%,2.50,25%,14%,2.5
Marnic Mann,6,3,0,60.0,"64""",1.47,41%,5.08,31%,1.90,33%,25%,0.4
Dokonjonosuke Mishima,21,7,2,67.0,--,1.06,41%,1.22,52%,2.47,40%,25%,1.4
Sabina Mazo,9,4,0,67.0,"70""",6.10,43%,4.35,57%,0.65,80%,59%,0.2
Bojan Mihajlovic,10,6,0,71.0,"73""",1.23,35%,5.95,47%,0.00,0%,33%,0.0
Islem Masraf,3,1,0,72.0,"74""",0.68,20%,3.88,15%,0.00,0%,100%,0.0
Koichiro Matsumoto,15,3,1,67.0,--,1.90,26%,3.50,31%,0.00,0%,0%,0.0
Maurice Mitchell,11,2,0,69.0,--,3.80,55%,3.54,60%,0.00,0%,100%,0.0
Jesse Murray,8,4,0,75.0,"78""",2.38,28%,7.72,43%,0.00,0%,0%,0.0
Molly McCann,14,8,0,64.0,"62""",5.28,49%,4.65,62%,1.78,36%,38%,0.5
Hiromitsu Miura,12,7,0,69.0,"71""",2.12,34%,2.12,58%,2.23,50%,69%,0.6
Charles McCarthy,10,5,0,70.0,"71""",0.18,12%,4.03,56%,2.67,60%,0%,2.7
Albert Morales,7,4,1,69.0,"72""",3.81,35%,3.96,56%,0.91,35%,70%,0.2
Chris Mierzwiak,5,3,0,73.0,--,1.60,61%,1.73,48%,2.00,28%,0%,1.0
Dominic Mar Fan,7,2,0,71.0,"75""",2.60,55%,2.67,28%,2.00,40%,0%,1.0
Doug Marshall,18,8,0,70.0,--,6.99,46%,4.02,60%,0.00,0%,66%,2.4
Justin Martin,4,3,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Rocco Martin,17,6,0,72.0,"73""",2.68,37%,2.59,58%,0.71,27%,68%,1.0
Brian McLaughlin,6,2,0,69.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Makhmud Muradov,26,8,0 (1 NC),74.0,"75""",4.21,43%,2.57,61%,3.03,66%,77%,0.2
Fazlo Mulabitinovic,4,2,0,,--,0.54,16%,0.00,100%,0.00,0%,0%,8.0
Mike Massenzio,13,9,0,74.0,"73""",2.08,45%,3.59,54%,2.74,24%,50%,1.4
Thiago Moises,19,9,0,69.0,"70""",2.48,42%,4.08,53%,1.31,35%,52%,1.1
Andrew Martinez,9,6,0,69.0,--,3.40,31%,2.30,47%,1.50,50%,0%,0.0
Vince Murdock,12,4,0 (1 NC),66.0,"64""",1.21,21%,7.17,40%,0.00,0%,0%,0.0
Alex Morono,24,12,0 (1 NC),71.0,"72""",5.03,40%,4.78,56%,0.33,24%,47%,0.3
Keith Mielke,0,5,0,68.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Melvin Manhoef,30,14,1 (2 NC),69.0,--,3.52,48%,2.64,51%,0.33,25%,78%,0.0
Sarah Moras,6,8,0,67.0,"67""",2.28,34%,3.58,50%,0.67,21%,33%,0.8
Alexander Morgan,11,5,0,70.0,"71""",3.71,44%,2.78,47%,0.00,0%,0%,0.0
Rhys McKee,14,6,1,74.0,"78""",5.16,44%,7.92,46%,0.00,0%,41%,0.0
Roman Mitichyan,8,3,0,70.0,--,0.26,16%,2.70,43%,1.93,100%,25%,1.9
Pauline Macias,4,1,0,64.0,"64""",0.80,29%,4.60,42%,2.00,18%,0%,0.0
Julieta Martinez,8,0,0,61.0,"62""",2.53,44%,3.60,41%,5.00,45%,100%,0.0
David Mitchell,22,7,0,72.0,"75""",1.74,32%,2.06,55%,0.66,50%,29%,2.0
Ian Murphy,1,1,0,73.0,--,0.00,0%,1.93,30%,4.13,100%,0%,0.0
Melissa Martinez,8,2,0,62.0,"66""",3.78,47%,5.21,53%,0.35,50%,50%,0.0
John Maguire,24,9,0,69.0,"69""",1.41,41%,2.44,65%,2.80,46%,77%,1.1
Michael McDonald,17,4,0,69.0,"70""",2.69,42%,2.76,57%,1.09,66%,52%,1.4
