Name,Wins,Losses,Draws,Height,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Marcus Aurelio,22,10,0,70.0,"74""",1.42,33%,2.27,59%,1.69,27%,27%,1.3
Warlley Alves,15,8,0,71.0,"72""",3.04,48%,3.95,50%,1.22,50%,62%,0.8
Rico Altamirano,4,3,0,70.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chris Avila,5,4,0,70.0,--,2.37,30%,4.17,48%,0.00,0%,46%,0.0
Alex Andrade,10,5,0,71.0,--,0.20,36%,2.60,53%,0.00,0%,25%,0.8
Bazigit Atajev,17,1,0,73.0,--,0.87,41%,3.14,49%,1.00,33%,0%,0.0
Bekzat Almakhan,12,2,0,67.0,"68""",0.68,40%,4.29,32%,0.00,0%,0%,0.0
Lucas Almeida,15,4,0,71.0,"71""",4.94,39%,5.04,44%,0.00,0%,53%,0.0
Jaqueline Amorim,10,1,0,63.0,"68""",2.68,53%,1.43,64%,2.22,37%,0%,4.8
Andy Anderson,0,1,0,66.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danny Abbadi,4,6,0,71.0,--,3.29,38%,4.41,57%,0.00,0%,77%,0.0
Alice Ardelean,10,7,0,63.0,"62""",6.73,44%,5.04,57%,1.00,50%,87%,0.0
Hamdy Abdelwahab,6,1,0 (1 NC),74.0,"72""",3.49,49%,4.49,51%,1.33,66%,100%,0.0
Mike Altman,1,4,0,70.0,--,1.56,20%,2.08,75%,0.00,0%,0%,0.0
Hamid Amiri,9,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nariman Abbasov,28,4,0,68.0,"66""",3.00,20%,5.67,46%,0.00,0%,66%,0.0
Teddy Ash,14,5,0,73.0,"73""",7.27,61%,6.80,28%,0.00,0%,100%,0.0
Kenneth Alexander,7,6,0 (1 NC),69.0,--,0.88,19%,2.20,66%,4.71,26%,0%,0.0
Felipe Arantes,18,10,1 (2 NC),68.0,"73""",2.37,45%,2.66,64%,0.93,47%,41%,0.7
Asjabharan,7,6,0,66.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amilcar Alves,15,12,0,72.0,--,0.50,46%,2.02,30%,0.00,0%,53%,0.0
Reza Arianto,5,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Cesar Almeida,7,1,0,73.0,"74""",4.16,58%,2.32,48%,0.00,0%,60%,0.3
Junior Assuncao,16,6,0,69.0,"72""",3.31,62%,2.06,44%,2.43,24%,66%,0.7
Chad Anheliger,13,8,0,66.0,"64""",3.11,46%,2.76,53%,0.68,30%,38%,0.5
Mansur Abdul-Malik,9,0,0,74.0,"80""",4.27,48%,3.49,51%,0.49,33%,82%,0.0
Hyder Amil,11,1,0,69.0,"70""",6.84,57%,4.18,51%,0.77,20%,81%,1.2
Kantharaj Agasa,12,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Joel Alvarez,22,3,0,75.0,"77""",4.51,53%,3.32,50%,0.00,0%,40%,1.2
Scott Adams,8,1,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Collin Anglin,8,3,0,69.0,"71""",4.59,48%,5.54,51%,2.28,66%,100%,0.0
Askar Askarov,14,1,1,66.0,"67""",3.05,54%,2.80,57%,2.60,24%,66%,0.4
Fellipe Andrew,0,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Daniel Allen,5,0,0,72.0,"75""",7.60,51%,5.87,53%,2.00,66%,100%,0.0
Bruno Assis,8,4,0,74.0,--,1.27,43%,3.20,36%,2.00,50%,66%,1.0
David Avellan,2,1,0,69.0,--,3.33,25%,10.00,57%,0.00,0%,0%,0.0
Matt Andersen,14,8,1,74.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ildemar Alcantara,21,11,0,74.0,"78""",1.93,38%,2.63,50%,2.00,68%,81%,0.9
Nurullo Aliev,10,0,0,70.0,"72""",2.43,45%,1.07,58%,2.60,54%,0%,0.0
Romie Aram,7,1,0,70.0,--,1.80,35%,2.83,50%,2.50,62%,83%,0.0
Antonio Arroyo,9,5,0,75.0,"73""",2.82,66%,2.02,50%,1.14,41%,41%,0.2
Iuri Alcantara,35,10,0 (1 NC),69.0,"71""",2.72,45%,2.79,49%,1.44,62%,60%,0.8
Israel Albuquerque,0,3,0,,--,0.32,13%,3.34,25%,0.00,0%,0%,0.0
Josh Appelt,15,7,0,70.0,--,1.35,40%,11.50,32%,0.00,0%,33%,0.0
Levi Alford,1,7,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Cesar Arzamendia,8,3,0,71.0,--,5.37,45%,5.20,56%,7.32,75%,0%,2.4
Jessica Andrade,26,14,0,61.0,"62""",6.39,50%,5.49,54%,2.21,54%,71%,0.3
Anthony Avila,13,5,0,67.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alen Amedovski,8,4,0,70.0,"74""",0.99,30%,3.85,46%,0.00,0%,0%,0.0
Omari Akhmedov,21,6,1,72.0,"73""",2.97,34%,2.84,55%,2.58,45%,65%,0.2
Lucas Alexander,8,5,0,71.0,"73""",4.69,57%,2.87,56%,0.00,0%,60%,0.0
Azunna Anyanwu,14,5,0,73.0,--,2.47,42%,2.47,69%,0.65,100%,0%,0.0
Bertrand Amoussou,1,1,0,68.0,--,6.75,39%,2.01,83%,0.00,0%,0%,0.0
Nick Agallar,24,6,0,68.0,--,0.69,11%,4.56,42%,0.00,0%,0%,0.0
Art Arciniega,15,7,0,68.0,--,1.53,46%,2.73,51%,0.00,0%,50%,1.0
Ashiek Ajim,6,2,0,68.0,"71""",5.00,40%,11.25,25%,0.00,0%,0%,0.0
Junior Albini,14,6,0,75.0,"74""",3.98,51%,6.08,52%,1.54,37%,100%,0.0
Thomas Almeida,22,5,0,67.0,"70""",4.84,43%,4.93,61%,0.17,14%,75%,0.0
Jimmy Ambriz,17,21,1,74.0,--,0.83,29%,3.76,40%,3.13,57%,100%,0.8
Raphael Assuncao,28,10,0,65.0,"66""",3.22,42%,2.50,66%,1.65,39%,78%,0.2
Andrei Arlovski,34,24,0 (2 NC),75.0,"77""",3.82,45%,3.22,57%,0.37,35%,76%,0.2
Royce Alger,3,2,0,70.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ali AlQaisi,8,5,0,66.0,"68""",2.43,42%,1.97,56%,3.50,29%,60%,1.0
Leon Aliu,10,2,0,72.0,"74""",6.32,50%,10.11,38%,0.00,0%,0%,0.0
JJ Aldrich,14,7,0,65.0,"67""",3.96,47%,4.32,61%,0.75,26%,67%,0.0
Julius Anglickas,5,1,0,75.0,--,4.62,78%,1.86,50%,4.47,50%,60%,1.1
Rich Attonito,10,5,0,70.0,"72""",2.28,47%,2.13,59%,0.74,37%,75%,0.0
Liam Anderson,6,3,0,75.0,"75""",3.00,52%,6.53,31%,1.00,20%,50%,0.0
Vanilto Antunes,16,7,0,72.0,"72""",5.49,48%,14.27,43%,0.00,0%,0%,0.0
George Allen,13,19,2,74.0,--,0.80,38%,3.10,43%,0.00,0%,50%,0.0
Alatengheili,17,10,2,65.0,"66""",2.82,32%,5.12,57%,1.74,43%,75%,0.0
Kevin Aguilar,17,5,0,67.0,"73""",3.96,40%,4.81,52%,0.16,16%,78%,0.0
Andre Amado,6,4,1,72.0,--,2.27,24%,5.91,63%,0.00,0%,20%,0.0
Brendan Allen,24,7,0,74.0,"75""",3.55,53%,3.67,45%,1.53,38%,56%,1.3
Luiz Azeredo,15,10,0,69.0,--,2.16,39%,2.76,57%,1.07,50%,45%,0.3
Ricardo Abreu,5,1,0,71.0,--,3.79,31%,3.98,68%,2.13,42%,100%,0.7
Marcelo Aguiar,2,3,1,70.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lowell Anderson,0,1,0,66.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Yoshihiro Akiyama,14,6,0 (2 NC),70.0,"75""",3.10,41%,3.62,57%,2.29,67%,92%,1.0
Chalid Arrab,7,3,0,71.0,--,1.56,34%,1.63,56%,3.05,75%,37%,1.0
Juan Adams,5,3,0,77.0,"80""",7.09,55%,4.06,34%,0.91,66%,57%,0.0
Jesus Aguilar,11,3,0,64.0,"62""",1.73,45%,1.10,59%,1.83,35%,40%,1.8
Ikram Aliskerov,16,2,0,72.0,"76""",7.76,62%,5.78,41%,1.14,33%,100%,1.1
Erik Apple,10,3,0,72.0,--,0.00,0%,0.54,81%,0.00,0%,0%,8.1
Razak Al-Hassan,13,5,0,74.0,--,3.27,39%,3.14,60%,0.65,14%,57%,0.0
Magomed Ankalaev,21,1,1 (1 NC),75.0,"75""",3.66,52%,2.46,57%,0.80,22%,87%,0.0
Austin Arnett,16,6,0,72.0,"72""",4.52,41%,6.38,62%,0.44,18%,57%,0.2
Yanal Ashmouz,8,2,0,69.0,"69""",2.88,50%,4.78,50%,3.24,38%,64%,0.0
Kai Asakura,21,5,0,68.0,"69""",2.40,58%,4.52,38%,0.00,0%,57%,0.0
Mike Aina,14,6,1 (1 NC),69.0,--,2.87,33%,6.33,59%,0.00,0%,71%,0.0
Patricia Alujas,9,3,0,64.0,"64""",5.83,31%,9.25,44%,0.00,0%,0%,0.0
Mahamed Aly,4,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dan Argueta,9,3,0 (2 NC),67.0,"68""",2.48,43%,3.44,50%,4.36,35%,55%,1.4
Gilbert Aldana,6,2,0,73.0,--,2.91,54%,6.26,26%,2.57,40%,33%,0.0
Matt Arroyo,3,3,0,70.0,"72""",1.62,47%,2.01,58%,2.12,36%,100%,5.3
Ben Alloway,18,8,0,71.0,"76""",1.28,49%,1.90,59%,0.62,50%,26%,0.0
Talita Alencar,6,1,1,61.0,"58""",2.62,33%,3.77,53%,2.50,20%,50%,0.2
Victor Altamirano,12,5,0,68.0,"70""",4.58,53%,3.82,53%,2.88,38%,63%,0.0
Tom Aaron,5,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Shamil Abdurakhimov,20,8,0,75.0,"76""",2.41,44%,3.02,55%,1.01,23%,45%,0.1
Pablo Alfonso,9,7,0,68.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Reese Andy,7,3,0,72.0,--,2.87,50%,3.50,58%,0.67,20%,40%,0.0
Gadzhimurad Antigulov,20,8,0,71.0,"70""",2.08,55%,4.21,40%,5.08,36%,0%,1.4
Julio Arce,19,6,0,67.0,"70""",4.36,36%,3.05,68%,0.46,28%,96%,0.3
Levi Avera,18,15,0,73.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Corey Anderson,14,5,0,75.0,"79""",4.43,46%,2.22,59%,4.89,50%,83%,0.0
Julia Avila,9,4,0,67.0,"68""",2.81,42%,3.28,55%,0.63,37%,52%,0.2
Ericka Almeida,7,3,0,66.0,--,1.07,39%,3.33,43%,0.50,33%,37%,0.0
Mauricio Alonso,13,7,0 (1 NC),74.0,--,5.74,34%,1.91,67%,0.00,0%,0%,0.0
Shinya Aoki,39,7,0 (1 NC),71.0,--,0.97,58%,1.25,58%,2.54,41%,60%,4.0
Eli Aronov,6,1,0,70.0,"72""",8.92,68%,6.49,38%,12.16,100%,0%,0.0
Makwan Amirkhani,17,9,0,70.0,"72""",1.33,44%,2.98,46%,3.96,43%,35%,1.1
Alfonso Alcarez,1,3,1,63.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Cyril Asker,9,4,0,72.0,"74""",3.35,39%,5.82,35%,4.41,62%,100%,0.9
Dylan Andrews,18,7,0 (1 NC),73.0,"74""",2.21,50%,2.72,46%,2.83,50%,57%,0.4
Luciano Azevedo,17,9,1,75.0,--,0.76,45%,1.97,27%,2.28,11%,0%,0.0
Megan Anderson,11,5,0,72.0,"72""",1.76,46%,3.35,37%,0.52,25%,53%,0.5
Khusein Askhabov,23,1,0,68.0,"69""",2.00,26%,4.13,56%,0.00,0%,66%,0.0
Klidson Abreu,15,4,0 (1 NC),72.0,"74""",2.05,40%,2.90,55%,0.64,20%,80%,0.0
Jin Aoi,14,6,1,66.0,"68""",1.60,29%,5.80,51%,0.00,0%,71%,0.0
David Abbott,10,15,0,72.0,--,1.35,30%,3.55,38%,1.07,33%,66%,0.0
Israel Adesanya,24,5,0,76.0,"80""",4.02,48%,3.20,55%,0.05,11%,76%,0.1
Anthony Alves,1,4,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Adajar,6,2,0,69.0,"75""",3.90,52%,6.28,44%,0.00,0%,0%,0.0
Zarrukh Adashev,4,4,0,65.0,"65""",3.65,40%,3.04,64%,0.00,0%,100%,0.5
Mariya Agapova,10,5,0,66.0,"68""",4.43,54%,3.62,52%,0.55,66%,45%,0.8
Eryk Anders,17,8,0 (1 NC),73.0,"75""",3.54,48%,4.05,50%,1.71,24%,80%,0.1
Ibo Aslan,14,2,0,75.0,"77""",7.84,50%,4.43,63%,0.00,0%,83%,0.0
Gilles Arsene,1,1,0,69.0,--,0.06,10%,2.45,32%,0.00,0%,0%,0.0
Brett Albee,3,2,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jose Aldo,32,10,0,67.0,"70""",3.65,46%,3.81,60%,0.47,51%,92%,0.1
Viviane Araujo,13,7,0,64.0,"68""",3.84,47%,4.83,55%,1.72,43%,75%,0.6
Eddie Alvarez,29,6,0 (1 NC),69.0,"69""",4.32,41%,4.39,55%,2.92,36%,92%,0.5
Tatsuya Ando,14,4,1,64.0,"68""",0.93,19%,4.93,50%,0.00,0%,0%,0.0
Houston Alexander,17,15,1 (2 NC),72.0,"72""",3.06,54%,3.20,52%,1.19,57%,33%,0.0
Juan Andres Luna,12,1,0,67.0,"72""",3.27,31%,3.00,65%,0.00,0%,0%,0.0
Juan Alcain,1,2,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Albert,6,5,0,68.0,"68""",3.05,49%,2.82,35%,0.00,0%,50%,6.1
Rostem Akman,6,2,0,70.0,"72""",1.80,25%,3.97,57%,1.00,40%,87%,0.0
Jailton Almeida,22,3,0,75.0,"79""",2.62,65%,0.89,41%,6.58,60%,60%,2.4
Amir Albazi,17,2,0,65.0,"68""",2.72,34%,3.71,61%,1.39,32%,50%,0.5
Javi Alanis,0,4,0,66.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adlan Amagov,14,2,1,74.0,"76""",3.29,47%,0.82,78%,5.84,56%,100%,0.0
Sean Alvarez,4,3,0,72.0,--,0.89,37%,3.25,47%,0.00,0%,0%,0.0
John Dave Almanza,6,1,0,67.0,"67""",1.92,41%,5.75,27%,0.00,0%,0%,0.0
Aoriqileng,25,12,0 (1 NC),67.0,"69""",4.65,49%,5.46,48%,1.20,46%,58%,0.0
Joey Armstrong,5,2,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Michael Aswell,10,3,0,68.0,"69""",9.10,44%,7.93,54%,0.00,0%,57%,0.0
JJ Ambrose,28,7,0 (2 NC),70.0,--,3.16,69%,6.32,33%,0.00,0%,50%,0.0
Yoji Anjo,0,5,1,71.0,--,0.00,0%,3.13,25%,0.00,0%,0%,0.0
Igor Araujo,25,9,0 (1 NC),73.0,"77""",1.52,42%,2.86,49%,0.86,15%,22%,0.6
Hiroyuki Abe,8,15,3 (1 NC),66.0,--,1.71,36%,3.11,63%,0.00,0%,33%,0.0
Marcio Alexandre Junior,17,4,0,72.0,"75""",1.61,45%,2.89,42%,0.35,20%,66%,0.7
Rafael Alves,20,12,0,68.0,"68""",1.85,48%,3.30,58%,0.29,25%,44%,1.5
Chris Amarante,2,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Angga,13,3,0,67.0,"68""",3.56,38%,3.77,53%,0.00,0%,33%,0.0
Jessica Aguilar,20,8,0,63.0,"63""",4.93,50%,7.19,53%,0.94,25%,50%,0.2
Sam Adkins,7,20,2,75.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adam Antolin,12,3,0,65.0,"63""",5.73,52%,5.00,69%,0.00,0%,100%,0.0
Angelo Antonio,1,4,0,,--,1.09,50%,7.64,50%,0.00,0%,0%,0.0
Shinsho Anzai,10,3,0,67.0,"70""",3.23,58%,3.75,45%,1.83,16%,75%,0.0
Sam Alvey,33,18,1 (1 NC),74.0,"75""",3.28,44%,3.63,52%,0.06,14%,82%,0.1
Scott Askham,14,4,0,75.0,"75""",3.03,46%,3.52,52%,0.44,18%,65%,0.7
Daichi Abe,6,2,0,71.0,"71""",3.80,33%,4.49,56%,0.33,50%,0%,0.0
Karl Amoussou,27,7,2,71.0,--,1.47,34%,2.67,54%,0.00,0%,25%,1.0
Ricardo Arona,14,5,0,71.0,--,1.66,48%,1.15,57%,2.41,48%,58%,1.2
Jaime Alvarez,6,1,0,68.0,"69""",2.73,40%,4.53,56%,1.00,33%,50%,0.0
Papy Abedi,10,4,0,71.0,--,2.80,55%,3.15,48%,3.47,57%,50%,1.3
Olivier Aubin-Mercier,11,5,0,69.0,"70""",2.48,51%,2.97,55%,2.36,33%,70%,0.5
Blas Avena,8,7,0 (1 NC),72.0,"74""",2.34,47%,3.36,43%,2.37,80%,50%,1.8
Bill Algeo,18,9,0,72.0,"73""",5.88,51%,4.38,47%,1.03,50%,55%,0.1
Christian Aguilera,14,8,0,69.0,"72""",2.54,37%,4.04,48%,0.00,0%,60%,0.0
Jermaine Andre,14,4,0,67.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Hashem Arkhagha,6,1,0,74.0,"75""",1.84,44%,8.97,43%,0.00,0%,50%,0.0
Tom Aspinall,15,3,0,77.0,"78""",8.07,67%,2.89,65%,3.27,100%,100%,1.6
Arnold Allen,20,3,0,68.0,"70""",3.45,41%,2.88,61%,0.93,47%,75%,0.3
Hitomi Akano,18,10,0,64.0,--,0.59,45%,2.58,55%,0.00,0%,8%,0.5
Irina Alekseeva,5,3,0,68.0,"67""",4.01,39%,5.03,46%,0.47,20%,66%,0.5
Saad Awad,20,9,0,71.0,--,2.13,26%,1.87,60%,0.50,16%,100%,0.5
Ben Askren,19,2,0 (1 NC),71.0,"73""",3.64,49%,5.66,36%,4.33,55%,0%,0.9
Cyborg Abreu,0,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Garrett Armfield,10,5,0,66.0,"70""",5.35,53%,3.64,56%,1.10,50%,64%,0.6
Amir Aliakbari,10,1,0,75.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kenji Arai,15,15,5,70.0,--,8.79,27%,10.29,39%,0.00,0%,0%,0.0
Arman Ashimov,11,3,1,66.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ottman Azaitar,13,3,0,68.0,"71""",4.43,44%,4.11,52%,0.00,0%,100%,0.0
Javy Ayala,10,5,0,73.0,--,0.83,25%,5.00,33%,0.00,0%,0%,0.0
Estefani Almeida,7,3,0,64.0,--,3.13,37%,6.07,42%,0.00,0%,0%,0.0
Olaf Alfonso,8,12,0,74.0,--,1.65,38%,4.77,53%,0.37,7%,22%,0.7
Magno Almeida,10,3,0 (1 NC),72.0,--,1.67,36%,2.60,41%,0.00,0%,40%,5.0
Mohamed Ado,5,1,0,71.0,"76""",1.66,83%,0.33,75%,4.97,50%,50%,5.0
Pat Audinwood,11,2,1,72.0,--,1.17,12%,4.31,41%,0.80,50%,0%,0.0
John Allan,13,7,0 (1 NC),73.0,"75""",3.56,42%,5.74,52%,1.40,71%,50%,0.8
Anthony Adams,8,2,0,73.0,"76""",3.17,41%,5.93,44%,0.00,0%,0%,0.0
Ricardo Almeida,13,5,0,72.0,"74""",2.02,49%,1.20,61%,3.74,38%,31%,1.2
Veta Arteaga,3,1,0,67.0,--,3.20,36%,1.92,65%,0.00,0%,40%,0.0
Agulali,13,1,0,69.0,"67""",2.74,63%,0.91,71%,0.00,0%,0%,0.0
Jessin Ayari,16,6,0,72.0,"73""",3.53,37%,3.59,58%,0.00,0%,50%,0.3
Hunter Azure,9,2,0,68.0,"69""",3.92,53%,2.08,58%,1.97,34%,67%,1.3
Abdul-Kareem Al-Selwady,15,4,0,68.0,"69""",4.14,34%,3.60,59%,2.32,30%,20%,0.0
Herdem Alacabek,5,1,0,74.0,"75""",3.84,65%,6.66,23%,2.06,50%,42%,0.0
Mostapha Al-Turk,6,6,0,74.0,"77""",1.36,19%,3.61,53%,0.00,0%,0%,0.0
Jose Augusto,6,2,0 (1 NC),75.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Alessio,35,17,0 (2 NC),70.0,"72""",2.10,39%,2.91,54%,1.85,38%,70%,1.2
Askar Askar,11,1,0,67.0,"69""",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tristan Arenal,7,4,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aleksandra Albu,3,2,0,62.0,"63""",4.83,47%,5.56,38%,2.27,50%,77%,0.4
Viscardi Andrade,19,6,0,71.0,"75""",3.26,42%,2.77,63%,1.93,50%,66%,0.3
Asu Almabayev,21,3,0,64.0,"65""",2.32,54%,1.76,53%,4.13,42%,66%,1.4
Jim Alers,13,3,0 (1 NC),69.0,"71""",2.90,40%,4.38,56%,2.26,41%,80%,0.3
Sarah Alpar,9,6,0,64.0,"63""",2.36,44%,6.06,38%,1.61,26%,20%,0.4
Jose Alday,14,6,1,67.0,"68""",3.13,44%,3.13,58%,0.00,0%,57%,0.0
Derek Anderson,14,3,0 (1 NC),72.0,--,3.97,37%,3.08,61%,0.34,14%,60%,0.0
Thiago Alves,23,15,0,69.0,"70""",3.73,41%,3.42,62%,0.71,60%,63%,0.3
Akbarh Arreola,23,11,1,70.0,"71""",2.32,45%,4.01,56%,1.07,100%,33%,0.4
Nick Aguirre,7,2,0,69.0,"74""",0.73,33%,2.89,45%,1.16,20%,33%,0.6
Irene Aldana,15,8,0,69.0,"68""",5.19,39%,6.64,56%,0.15,50%,77%,0.2
Maiara Amanajas dos Santos,7,3,0,65.0,--,5.53,35%,24.47,33%,0.00,0%,100%,0.0
Hector Aldana,4,3,0,71.0,"72""",3.59,38%,5.08,59%,0.93,100%,0%,0.0
Ahejiang Ailinuer,15,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Edwin Aguilar,26,19,0 (1 NC),70.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sultan Aliev,15,3,0,71.0,"74""",1.41,45%,2.20,56%,1.76,38%,100%,0.0
Abu Azaitar,14,4,1,69.0,"76""",4.38,43%,4.32,51%,1.00,37%,42%,0.0
Fabio Aguiar,17,1,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Daniel Acacio,30,18,0,68.0,--,3.52,36%,2.85,62%,0.33,20%,81%,0.0
Gabriel Arges,0,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Wes Albritton,0,1,0,70.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Junie Browning,5,6,0,69.0,--,3.76,48%,1.76,66%,3.53,66%,0%,3.5
Steve Bosse,12,2,0,71.0,"72""",5.99,52%,5.38,50%,0.92,33%,100%,0.0
Maximo Blanco,12,8,1 (1 NC),68.0,"71""",4.11,44%,3.19,66%,1.85,36%,63%,0.3
Gilbert Burns,22,9,0,70.0,"71""",3.15,48%,3.64,52%,2.12,37%,53%,0.5
Roman Bravo-Young,0,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Luke Barnatt,13,4,0,78.0,"77""",4.43,36%,3.87,59%,0.63,42%,63%,0.4
Maycee Barber,14,2,0,65.0,"65""",4.70,53%,2.90,54%,1.44,43%,53%,0.1
Johnny Bedford,21,13,1 (1 NC),70.0,"71""",4.53,50%,1.75,63%,1.83,62%,62%,0.0
Mike Budnik,13,4,0,69.0,"68""",0.65,52%,0.95,53%,0.00,0%,0%,3.4
Jin Bala,23,3,0,69.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dennis Bermudez,17,9,0,66.0,"66""",4.42,46%,3.07,59%,3.89,40%,82%,1.1
Sean Brady,18,1,0,70.0,"72""",4.00,55%,2.94,59%,3.62,54%,86%,0.9
Paul Bradley,23,8,0 (2 NC),69.0,--,2.26,32%,4.13,56%,1.12,16%,100%,0.0
Blake Bowman,2,6,0,74.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh Barnett,35,8,0,75.0,"78""",3.20,50%,2.11,57%,1.26,55%,55%,1.4
Keith Berry,15,14,1 (1 NC),73.0,--,0.27,12%,6.27,28%,0.00,0%,0%,0.0
Raphael Butler,9,2,1,75.0,--,4.69,45%,0.94,91%,0.00,0%,100%,14.1
Justin Buchholz,15,10,0,72.0,"73""",2.35,26%,4.14,51%,0.00,0%,33%,0.8
Yohan Banks,2,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chris Barnhizer,2,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Karla Benitez,14,11,1 (1 NC),63.0,--,0.00,0%,2.40,57%,0.00,0%,100%,0.0
Fernando Bettega,7,5,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
George Bush,5,2,0,73.0,--,6.35,64%,2.31,55%,17.31,66%,0%,0.0
Arlene Blencowe,9,6,0,65.0,--,2.31,43%,2.10,43%,0.00,0%,55%,0.6
Anthony Birchak,16,8,0,68.0,"69""",3.93,36%,3.67,56%,0.48,14%,61%,0.5
Galore Bofando,5,3,0,71.0,"72""",3.63,45%,3.63,54%,2.37,100%,50%,0.0
Martin Buday,15,2,0,76.0,"77""",4.67,53%,5.00,55%,0.17,20%,100%,0.2
Gaston Bolanos,8,5,0,67.0,"69""",3.28,49%,2.40,50%,0.66,100%,42%,0.0
Charlie Brenneman,19,8,0,70.0,"70""",1.52,56%,1.55,46%,4.23,42%,72%,0.0
Bahatebole Batebolati,10,1,1,68.0,"71""",4.02,45%,4.83,61%,1.34,66%,100%,0.0
Ismael Bonfim,20,5,0,68.0,"71""",5.73,55%,3.10,70%,0.96,33%,76%,0.0
Phil Baroni,15,18,0,69.0,"72""",2.77,45%,3.93,40%,1.46,47%,60%,0.5
Shayna Baszler,15,11,0,67.0,--,2.49,30%,6.36,51%,0.67,18%,44%,1.3
Antonio Banuelos,20,11,1,65.0,"63""",2.69,33%,3.15,58%,1.62,62%,86%,0.4
Poliana Botelho,8,5,0,68.0,"67""",2.90,58%,2.80,54%,0.85,57%,76%,0.0
Roy Boughton,14,8,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jan Blachowicz,29,11,1,74.0,"78""",3.44,49%,3.03,52%,1.03,48%,69%,0.3
Jason Blackford,3,3,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lukasz Brzeski,9,6,1 (1 NC),76.0,"78""",5.02,50%,3.68,54%,0.43,33%,36%,0.4
Tai Bowden,1,1,0,71.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Pat Barry,8,7,0,71.0,"74""",2.72,52%,3.54,59%,0.00,0%,76%,0.2
Derrick Burnsed,1,0,3,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Roman Bogatov,10,1,0,68.0,"73""",3.33,42%,4.40,44%,1.00,9%,50%,0.0
Eduardo Bustillos,5,3,0,68.0,--,2.61,59%,6.22,35%,0.00,0%,100%,0.0
Calen Born,7,1,0,68.0,"72""",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Melsik Baghdasaryan,8,3,0,69.0,"70""",5.04,59%,3.14,56%,0.00,0%,72%,0.0
Rudy Bears,16,15,0,71.0,--,1.27,29%,2.53,50%,0.00,0%,0%,0.0
Jonathan Brookins,16,10,0,72.0,"74""",2.69,39%,3.63,56%,1.94,17%,80%,0.3
